index,Track,Artist,Year,Duration,Time_Signature,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Popularity,Genre,index,Artist,artist_start_year,artist_end_year,artist_career_length,years_since_debut
8000,Got Me Waiting,Heavy D & the Boyz,1994,230000,4,0.879,0.396,1,-9.925,1,0.189,0.265,0.0,0.198,0.604,119.947,43,Pop,1103,Heavy D & the Boyz,1991,1994,3,3
8001,I Don’t Know How To Love Him,Helen Reddy,1971,220000,4,0.408,0.417,2,-7.099,1,0.0269,0.259,1.1e-06,0.154,0.34,71.334,31,Pop,1104,Helen Reddy,1971,1975,4,0
8002,Delta Dawn,Helen Reddy,1973,175000,4,0.619,0.507,5,-7.677,1,0.0335,0.71,0.0,0.258,0.694,77.995,62,Pop,1104,Helen Reddy,1971,1975,4,2
8003,I Am Woman,Helen Reddy,1973,232000,4,0.646,0.471,10,-9.247,1,0.157,0.122,0.0,0.125,0.455,170.084,67,Pop,1104,Helen Reddy,1971,1975,4,2
8004,Leave Me Alone (RUBY Red Dress),Helen Reddy,1974,207000,4,0.655,0.626,7,-11.386,1,0.0467,0.134,2.3e-05,0.0586,0.874,134.071,30,Pop,1104,Helen Reddy,1971,1975,4,3
8005,You And Me Against The World,Helen Reddy,1974,191000,4,0.384,0.283,9,-15.493,1,0.0288,0.544,1.09e-06,0.154,0.259,78.568,38,Pop,1104,Helen Reddy,1971,1975,4,3
8006,Ain’t No Way To Treat A Lady,Helen Reddy,1975,208000,4,0.486,0.32,10,-14.084,1,0.0389,0.728,4.79e-05,0.0979,0.35,80.207,30,Pop,1104,Helen Reddy,1971,1975,4,4
8007,Angie Baby,Helen Reddy,1975,210000,4,0.544,0.412,7,-12.628,0,0.0482,0.543,2.32e-05,0.0839,0.527,79.957,40,Pop,1104,Helen Reddy,1971,1975,4,4
8008,Shannon,Henry Gross,1976,233000,4,0.558,0.36,5,-11.771,1,0.0232,0.23,0.00248,0.18,0.509,87.838,43,Pop,1106,Henry Gross,1976,1976,0,0
8009,Moon River,Henry Mancini,1962,422000,4,0.662,0.478,9,-8.631,1,0.0451,0.252,0.833,0.216,0.43,139.98,76,Pop,1107,Henry Mancini,1962,1969,7,0
8010,Love Theme From “ROMEO And Juliet”,Henry Mancini,1969,224000,3,0.236,0.224,7,-13.578,0,0.0378,0.835,0.843,0.232,0.0767,75.826,38,Pop,1107,Henry Mancini,1962,1969,7,7
8011,This Guy’s In Love With You,Herb Alpert,1968,239000,4,0.635,0.167,1,-12.998,1,0.0403,0.858,0.000999,0.213,0.246,83.767,51,Pop,1109,Herb Alpert,1968,1987,19,0
8012,Rise,Herb Alpert,1979,161000,3,0.483,0.129,5,-20.149,0,0.0349,0.947,0.145,0.106,0.203,137.35,81,Pop,1109,Herb Alpert,1968,1987,19,11
8013,Diamonds,Herb Alpert,1987,225000,4,0.562,0.709,11,-4.92,0,0.0424,0.00124,0.0,0.109,0.401,91.958,71,Pop,1109,Herb Alpert,1968,1987,19,19
8014,A Taste Of Honey,Herb Alpert and the Tijuana Brass,1965,163000,4,0.552,0.423,5,-11.109,0,0.0365,0.771,0.881,0.111,0.495,80.871,49,Pop,1110,Herb Alpert and the Tijuana Brass,1965,1965,0,0
8015,Can’t You Hear My Heart Beat,Herman’s Hermits,1965,210000,4,0.742,0.42,3,-12.523,0,0.319,0.091,0.0,0.101,0.506,82.039,0,Pop,1114,Herman’s Hermits,1965,1967,2,0
8016,"I’m Henry The Eighth,I Am",Herman’s Hermits,1965,196000,4,0.554,0.617,0,-8.205,1,0.127,0.693,0.0,0.738,0.847,135.892,0,Pop,1114,Herman’s Hermits,1965,1967,2,0
8017,"Mrs. Brown,You’ve Got A Lovely Daughter",Herman’s Hermits,1965,168000,4,0.608,0.498,0,-9.447,1,0.0523,0.766,0.178,0.0939,0.901,149.294,22,Pop,1114,Herman’s Hermits,1965,1967,2,0
8018,Silhouettes,Herman’s Hermits,1965,211000,4,0.605,0.8,5,-6.235,0,0.0545,0.155,0.0562,0.121,0.836,128.074,65,Pop,1114,Herman’s Hermits,1965,1967,2,0
8019,Wonderful World,Herman’s Hermits,1965,139000,4,0.271,0.165,5,-20.652,1,0.0351,0.726,1.54e-06,0.118,0.202,77.082,78,Pop,1114,Herman’s Hermits,1965,1967,2,0
8020,A Must To Avoid,Herman’s Hermits,1966,115000,4,0.51,0.71,4,-5.849,1,0.0281,0.0636,0.0,0.173,0.865,135.083,22,Pop,1114,Herman’s Hermits,1965,1967,2,1
8021,Dandy,Herman’s Hermits,1966,95000,5,0.511,0.318,10,-4.928,1,0.0515,0.927,0.0,0.0485,0.659,172.543,52,Pop,1114,Herman’s Hermits,1965,1967,2,1
8022,Listen People,Herman’s Hermits,1966,257000,4,0.431,0.418,5,-11.13,1,0.0364,0.852,0.823,0.181,0.525,147.743,32,Pop,1114,Herman’s Hermits,1965,1967,2,1
8023,There’s A Kind Of Hush,Herman’s Hermits,1967,156000,4,0.567,0.654,0,-9.411,1,0.0424,0.208,1.25e-06,0.414,0.556,128.035,29,Pop,1114,Herman’s Hermits,1965,1967,2,2
8024,I Can’t Wait Another Minute,Hi-Five,1991,277000,4,0.64,0.448,8,-15.519,1,0.0556,0.202,0.0,0.068,0.684,148.076,0,Pop,1115,Hi-Five,1991,1992,1,0
8025,I Like The Way (THE Kissing Game),Hi-Five,1991,348000,4,0.723,0.498,1,-10.53,1,0.0319,0.102,0.0278,0.0305,0.712,104.085,50,Pop,1115,Hi-Five,1991,1992,1,0
8026,She’s Playing Hard To Get,Hi-Five,1992,275000,4,0.518,0.807,1,-6.68,1,0.057,0.00768,0.0,0.271,0.781,199.979,43,Pop,1115,Hi-Five,1991,1992,1,1
8027,You Can’t Turn Me Off (IN The Middle Of Turning Me On),High Inergy,1978,212000,4,0.381,0.362,0,-10.321,0,0.0501,0.695,0.0,0.0863,0.595,183.438,29,Pop,1116,High Inergy,1978,1978,0,0
8028,Stick-Up,Honey Cone,1971,222000,4,0.31,0.932,11,-4.764,0,0.262,0.000261,3.71e-06,0.349,0.304,135.944,51,Pop,1117,Honey Cone,1970,1972,2,1
8029,Hold My Hand,Hootie & the Blowfish,1995,258000,4,0.22,0.769,11,-5.125,1,0.054,0.208,0.0,0.0985,0.495,170.773,62,Pop,1118,Hootie & the Blowfish,1995,1996,1,0
8030,Let Her Cry,Hootie & the Blowfish,1995,318000,4,0.352,0.698,7,-6.278,1,0.0303,0.0353,0.0,0.113,0.256,142.57,65,Pop,1118,Hootie & the Blowfish,1995,1996,1,0
8031,Old Man And Me (WHEN I Get To Heaven),Hootie & the Blowfish,1996,269000,4,0.466,0.612,4,-9.155,1,0.0355,0.527,0.0,0.0948,0.781,98.014,0,Pop,1118,Hootie & the Blowfish,1995,1996,1,1
8032,Only Wanna Be With You,Hootie & the Blowfish,1996,229000,4,0.49,0.873,6,-5.861,1,0.0355,0.107,5.19e-06,0.118,0.513,103.272,69,Pop,1118,Hootie & the Blowfish,1995,1996,1,1
8033,Time,Hootie & the Blowfish,1996,229000,4,0.721,0.802,1,-5.797,1,0.0583,0.0921,0.0,0.694,0.724,124.022,84,Pop,1118,Hootie & the Blowfish,1995,1996,1,1
8034,Angel In Your Arms,Hot,1977,150000,4,0.694,0.828,11,-4.653,0,0.0336,0.0399,0.0,0.0796,0.407,126.002,57,Pop,1122,Hot,1977,1977,0,0
8035,Popcorn,Hot Butter,1972,181000,4,0.656,0.48,2,-7.156,1,0.0552,0.318,0.0,0.0917,0.402,132.043,66,Pop,1123,Hot Butter,1972,1972,0,0
8036,Emma,Hot Chocolate,1975,220000,4,0.669,0.613,4,-11.12,0,0.036,0.487,0.176,0.132,0.566,110.668,67,Pop,1124,Hot Chocolate,1975,1979,4,0
8037,You Sexy Thing,Hot Chocolate,1976,244000,4,0.791,0.733,5,-5.465,1,0.0633,0.523,0.0016,0.167,0.962,105.853,73,Pop,1124,Hot Chocolate,1975,1979,4,1
8038,Every 1’S A Winner,Hot Chocolate,1979,289000,4,0.727,0.548,10,-7.393,1,0.0291,0.0621,0.516,0.133,0.929,107.826,58,Pop,1124,Hot Chocolate,1975,1979,4,4
8039,Jump Around,House of Pain,1992,218000,4,0.811,0.823,4,-5.921,0,0.0423,0.0553,4.52e-06,0.158,0.827,106.929,76,Pop,1126,House of Pain,1992,1992,0,0
8040,Things Can Only Get Better,Howard Jones,1985,235000,4,0.752,0.743,7,-6.083,1,0.0331,0.0314,0.000117,0.128,0.832,108.254,55,Pop,1127,Howard Jones,1985,1986,1,0
8041,No One Is To Blame,Howard Jones,1986,258000,4,0.743,0.354,9,-13.619,1,0.0285,0.683,4.55e-05,0.0621,0.8,95.123,49,Pop,1127,Howard Jones,1985,1986,1,1
8042,Do You Believe In Love,Huey Lewis and the News,1982,209000,4,0.547,0.636,11,-10.948,1,0.0314,0.0582,0.0,0.249,0.817,114.054,61,Pop,1132,Huey Lewis and the News,1982,1988,6,0
8043,I Want A New Drug,Huey Lewis and the News,1984,211000,4,0.672,0.898,2,-4.92,1,0.054,0.0786,6.4e-06,0.389,0.779,110.289,53,Pop,1132,Huey Lewis and the News,1982,1988,6,2
8044,If This Is It,Huey Lewis and the News,1984,233000,3,0.349,0.667,7,-7.407,1,0.0329,0.208,1.5e-06,0.317,0.84,147.414,56,Pop,1132,Huey Lewis and the News,1982,1988,6,2
8045,The Heart Of Rock & Roll,Huey Lewis and the News,1984,304000,4,0.594,0.757,10,-8.82,1,0.0379,0.0318,0.000106,0.222,0.956,143.297,52,Pop,1132,Huey Lewis and the News,1982,1988,6,2
8046,The Power Of Love,Huey Lewis and the News,1985,234000,4,0.768,0.828,5,-5.109,1,0.0313,0.0964,2.85e-05,0.097,0.961,118.777,75,Pop,1132,Huey Lewis and the News,1982,1988,6,3
8047,Stuck With You,Huey Lewis and the News,1986,208000,4,0.82,0.575,7,-9.144,1,0.0408,0.0936,0.000135,0.109,0.964,123.765,80,Pop,1132,Huey Lewis and the News,1982,1988,6,4
8048,Doing It All For My Baby,Huey Lewis and the News,1987,219000,4,0.378,0.604,0,-12.381,1,0.0322,0.257,0.0,0.238,0.8,91.68,47,Pop,1132,Huey Lewis and the News,1982,1988,6,5
8049,Jacob’s Ladder,Huey Lewis and the News,1987,179000,4,0.537,0.445,2,-8.631,1,0.0329,0.848,0.0,0.221,0.733,157.598,24,Pop,1132,Huey Lewis and the News,1982,1988,6,5
8050,Perfect World,Huey Lewis and the News,1988,190000,4,0.793,0.498,8,-11.208,0,0.17,0.0974,1.26e-05,0.13,0.427,119.988,66,Pop,1132,Huey Lewis and the News,1982,1988,6,6
8051,Grazing In The Grass,Hugh Masekela,1968,174000,4,0.595,0.857,1,-6.89,0,0.163,0.498,0.0,0.355,0.74,127.629,46,Pop,1133,Hugh Masekela,1968,1968,0,0
8052,"The Good,The Bad And The Ugly",Hugo Montenegro,1968,162000,4,0.304,0.657,0,-13.567,1,0.0824,0.787,0.954,0.113,0.102,120.338,58,Pop,1134,Hugo Montenegro,1968,1968,0,0
8053,Don’t You Want Me,Human League,1982,265000,4,0.763,0.624,1,-6.295,1,0.0432,0.388,0.00501,0.316,0.783,97.743,46,Pop,1135,Human League,1982,1983,1,0
8054,(KEEP Feeling) Fascination,Human League,1983,225000,4,0.724,0.645,0,-6.699,1,0.0852,0.423,0.0,0.386,0.713,118.284,48,Pop,1135,Human League,1982,1983,1,1
8055,"Oh,Babe,What Would You Say?",Hurricane Smith,1973,209000,4,0.37,0.587,0,-7.111,1,0.0318,0.603,5.82e-06,0.12,0.598,151.152,28,Pop,1136,Hurricane Smith,1973,1973,0,0
8056,Shake It,Ian Matthews,1979,219000,4,0.647,0.785,7,-5.414,1,0.165,0.0561,0.0,0.148,0.943,160.015,71,Pop,1143,Ian Matthews,1979,1979,0,0
8057,You Turn Me On,Ian Whitcomb,1965,159000,4,0.672,0.444,8,-9.805,1,0.0299,0.783,0.0,0.103,0.652,112.606,44,Pop,1144,Ian Whitcomb,1965,1965,0,0
8058,Electric Blue,Icehouse,1988,263000,4,0.688,0.909,10,-4.756,1,0.0354,0.0608,1.97e-06,0.1,0.641,109.673,56,Pop,1148,Icehouse,1988,1988,0,0
8059,Get Gone,Ideal,1999,182000,4,0.584,0.68,6,-6.781,1,0.0351,0.285,0.0,0.0901,0.55,146.093,64,Pop,1150,Ideal,1999,1999,0,0
8060,Proud Mary,Ike & Tina Turner,1971,187000,4,0.699,0.641,2,-7.564,1,0.0289,0.13,0.000218,0.0601,0.728,120.745,76,Pop,1151,Ike & Tina Turner,1971,1971,0,0
8061,Never Lie,Immature,1994,224000,4,0.782,0.641,3,-6.431,1,0.0275,0.332,0.00923,0.108,0.522,107.997,67,Pop,1153,Immature,1994,1995,1,0
8062,Constantly,Immature,1995,257000,4,0.747,0.667,9,-6.75,1,0.0304,0.274,5.03e-05,0.109,0.405,122.597,41,Pop,1153,Immature,1994,1995,1,1
8063,Mockingbird,Inez & Charlie Foxx,1963,250000,4,0.637,0.678,0,-3.798,1,0.266,0.209,0.0,0.156,0.254,84.039,86,Pop,1156,Inez & Charlie Foxx,1963,1963,0,0
8064,What’s On Your Mind (PURE Energy),Information Society,1988,278000,4,0.876,0.619,7,-10.831,1,0.0867,0.0122,0.0328,0.319,0.673,117.989,1,Pop,1158,Information Society,1988,1989,1,0
8065,Walking Away,Information Society,1989,223000,4,0.553,0.619,3,-7.101,1,0.0308,0.479,0.0,0.123,0.376,183.908,66,Pop,1158,Information Society,1988,1989,1,1
8066,Here Comes The Hotstepper,Ini Kamoze,1995,250000,4,0.889,0.453,4,-8.598,0,0.221,0.0141,0.000205,0.202,0.437,100.358,68,Pop,1159,Ini Kamoze,1995,1995,0,0
8067,Bad Boys,Inner Circle,1993,231000,4,0.682,0.678,7,-9.626,1,0.11,0.2,0.000163,0.109,0.517,175.18,68,Pop,1160,Inner Circle,1983,1993,10,10
8068,Sweat (A La La La La Long),Inner Circle,1993,229000,4,0.786,0.803,0,-6.59,1,0.205,0.0294,0.0,0.224,0.949,173.029,74,Pop,1160,Inner Circle,1983,1993,10,10
8069,Time After Time,INOJ,1998,241000,4,0.726,0.449,0,-9.206,1,0.0286,0.487,1.34e-06,0.0824,0.294,130.388,83,Pop,1140,INOJ,1998,1998,0,0
8070,What You Need,INXS,1986,206000,4,0.638,0.335,7,-10.522,0,0.0854,0.505,0.0139,0.116,0.0608,133.853,71,Pop,1141,INXS,1981,1997,16,5
8071,Devil Inside,INXS,1988,314000,4,0.501,0.784,0,-5.254,1,0.0699,0.0028,0.536,0.12,0.61,75.5,49,Pop,1141,INXS,1981,1997,16,7
8072,Need You Tonight,INXS,1988,180000,4,0.801,0.723,10,-4.985,0,0.0689,0.0713,0.154,0.0675,0.883,109.03,66,Pop,1141,INXS,1981,1997,16,7
8073,Never Tear Us Apart,INXS,1988,185000,3,0.665,0.686,0,-5.849,1,0.0268,0.0518,0.000176,0.174,0.275,96.848,62,Pop,1141,INXS,1981,1997,16,7
8074,New Sensation,INXS,1988,219000,4,0.68,0.967,4,-2.771,1,0.0664,0.0661,1.75e-06,0.0808,0.895,115.748,59,Pop,1141,INXS,1981,1997,16,7
8075,Disappear,INXS,1991,228000,3,0.538,0.304,9,-11.79,1,0.0352,0.613,0.000631,0.164,0.065,78.997,71,Pop,1141,INXS,1981,1997,16,10
8076,Fame,Irene Cara,1980,261000,4,0.786,0.555,10,-10.276,1,0.0471,0.454,0.0173,0.0826,0.673,95.1,61,Pop,1163,Irene Cara,1980,1984,4,0
8077,Flashdance… What A Feeling,Irene Cara,1983,237000,4,0.572,0.655,7,-7.027,0,0.0344,0.00579,3.41e-06,0.0901,0.392,122.49,77,Pop,1163,Irene Cara,1980,1984,4,3
8078,Breakdance,Irene Cara,1984,191000,4,0.96,0.552,7,-4.97,1,0.25,0.0242,0.0,0.0942,0.295,126.897,38,Pop,1163,Irene Cara,1980,1984,4,4
8079,Theme From Shaft,Isaac Hayes,1971,279000,4,0.487,0.716,9,-17.689,0,0.0463,0.233,0.00445,0.113,0.819,120.795,56,Pop,1166,Isaac Hayes,1969,1979,10,2
8080,Last Kiss,J. Frank Wilson & the Cavaliers,1964,369000,3,0.557,0.362,10,-8.641,1,0.0263,0.443,3.57e-06,0.1,0.187,79.573,69,Pop,1174,J. Frank Wilson & the Cavaliers,1964,1964,0,0
8081,Centerfold,J. Geils Band,1982,216000,4,0.653,0.677,0,-12.244,1,0.0396,0.249,0.0,0.403,0.888,114.374,71,Pop,1175,J. Geils Band,1982,1982,0,0
8082,Freeze-Frame,J. Geils Band,1982,237000,4,0.573,0.806,0,-10.978,1,0.0356,0.152,0.0116,0.405,0.934,186.326,53,Pop,1175,J. Geils Band,1982,1982,0,0
8083,You’re Only Lonely,J.D. Souther,1980,234000,4,0.652,0.442,9,-5.871,1,0.0248,0.617,6.24e-05,0.118,0.571,108.97,29,Pop,1177,J.D. Souther,1980,1980,0,0
8084,Burning Bridges,Jack Scott,1960,241000,4,0.447,0.356,10,-7.596,0,0.0275,0.599,2.66e-06,0.103,0.333,157.628,47,Pop,1184,Jack Scott,1960,1960,0,0
8085,What In The World’s Come Over You,Jack Scott,1960,166000,4,0.509,0.204,4,-13.736,1,0.0313,0.783,1.25e-05,0.1,0.483,76.709,29,Pop,1184,Jack Scott,1960,1960,0,0
8086,All I Need,Jack Wagner,1985,228000,4,0.67,0.478,4,-8.689,0,0.0355,0.531,0.428,0.138,0.0997,88.014,71,Pop,1185,Jack Wagner,1985,1985,0,0
8087,What The World Needs Now Is Love,Jackie DeShannon,1965,186000,4,0.445,0.407,1,-9.501,1,0.0302,0.814,0.0,0.0964,0.531,105.7,53,Pop,1187,Jackie DeShannon,1965,1969,4,0
8088,Put A Little Love In Your Heart,Jackie DeShannon,1969,156000,4,0.596,0.523,2,-6.801,1,0.0248,0.238,0.0,0.0771,0.435,100.974,49,Pop,1187,Jackie DeShannon,1965,1969,4,4
8089,The Duck,Jackie Lee,1966,192000,4,0.709,0.768,5,-6.427,1,0.0476,0.636,0.0,0.289,0.725,94.989,59,Pop,1188,Jackie Lee,1966,1966,0,0
8090,Night,Jackie Wilson,1960,86000,4,0.482,0.757,6,-4.586,1,0.0355,0.0137,0.0016,0.143,0.12,142.579,88,Pop,1190,Jackie Wilson,1957,1968,11,3
8091,(YOUR Love Keeps Lifting Me) Higher And Higher,Jackie Wilson,1967,179000,4,0.634,0.677,2,-7.19,1,0.0448,0.318,0.0,0.0902,0.939,95.792,68,Pop,1190,Jackie Wilson,1957,1968,11,10
8092,Sugar Daddy,Jackson 5,1972,245000,4,0.822,0.673,4,-6.141,0,0.228,0.144,0.0,0.323,0.85,120.02,52,Pop,1191,Jackson 5,1972,1972,0,0
8093,Doctor My Eyes,Jackson Browne,1972,199000,4,0.402,0.643,5,-8.749,1,0.0317,0.24,3.91e-05,0.118,0.525,150.086,65,Pop,1192,Jackson Browne,1972,1983,11,0
8094,Running On Empty,Jackson Browne,1978,291000,4,0.541,0.711,9,-13.492,1,0.0383,0.0635,0.0201,0.719,0.588,136.58,65,Pop,1192,Jackson Browne,1972,1983,11,6
8095,Somebody’s Baby,Jackson Browne,1982,219000,4,0.706,0.46,1,-9.061,1,0.0296,0.847,0.00793,0.106,0.226,102.98,67,Pop,1192,Jackson Browne,1972,1983,11,10
8096,Lawyers In Love,Jackson Browne,1983,259000,4,0.522,0.74,9,-6.496,1,0.0284,0.0286,0.00126,0.145,0.639,139.031,41,Pop,1192,Jackson Browne,1972,1983,11,11
8097,I Wanna Love You,Jade,1992,247000,4,0.866,0.454,0,-9.383,1,0.0414,0.0373,1.49e-06,0.275,0.368,99.982,73,Pop,1196,Jade,1992,1995,3,0
8098,Don’t Walk Away,Jade,1993,384000,4,0.516,0.448,10,-11.403,0,0.313,0.721,0.0,0.122,0.494,89.682,49,Pop,1196,Jade,1992,1995,3,1
8099,Every Day Of The Week,Jade,1995,191000,4,0.686,0.908,7,-3.673,1,0.0296,0.0135,6.77e-06,0.349,0.946,115.958,33,Pop,1196,Jade,1992,1995,3,3
8100,Papa’s Got A Brand New Bag,James Brown,1965,257000,4,0.82,0.665,4,-8.903,1,0.0611,0.194,0.1,0.142,0.802,130.1,31,Pop,1199,James Brown,1965,1986,21,0
8101,I Got You (I Feel Good),James Brown,1966,165000,4,0.611,0.487,7,-8.781,1,0.0938,0.417,1e-05,0.287,0.699,143.321,69,Pop,1199,James Brown,1965,1986,21,1
8102,It’s A Man’s Man’s Man’s World,James Brown,1966,140000,3,0.306,0.681,3,-3.57,0,0.0391,0.247,5.27e-06,0.0692,0.484,179.627,31,Pop,1199,James Brown,1965,1986,21,1
8103,Cold Sweat,James Brown,1967,109000,4,0.396,0.696,2,-7.798,1,0.176,0.347,2.44e-06,0.114,0.437,140.569,43,Pop,1199,James Brown,1965,1986,21,2
8104,I Got The Feelin’,James Brown,1968,289000,4,0.744,0.766,0,-6.375,1,0.0265,0.0873,0.0,0.509,0.61,127.966,76,Pop,1199,James Brown,1965,1986,21,3
8105,Say It Loud – I’m Black And I’m Proud,James Brown,1968,167000,4,0.851,0.66,3,-6.323,1,0.193,0.386,0.00235,0.0449,0.926,115.086,38,Pop,1199,James Brown,1965,1986,21,3
8106,Mother Popcorn,James Brown,1969,196000,4,0.944,0.748,7,-3.995,1,0.0593,0.125,0.258,0.0715,0.898,116.53,40,Pop,1199,James Brown,1965,1986,21,4
8107,Living In America,James Brown,1986,282000,4,0.754,0.854,0,-7.114,1,0.0363,0.00148,0.00692,0.0675,0.761,113.908,54,Pop,1199,James Brown,1965,1986,21,21
8108,Goodbye Cruel World,James Darren,1962,73000,4,0.472,0.0118,2,-31.734,1,0.0397,0.783,0.799,0.247,0.0698,102.949,51,Pop,1202,James Darren,1962,1962,0,0
8109,Her Royal Majesty,James Darren,1962,132000,4,0.359,0.591,5,-8.668,1,0.0561,0.637,0.0,0.281,0.91,183.318,11,Pop,1202,James Darren,1962,1962,0,0
8110,I Don’t Have The Heart,James Ingram,1990,253000,4,0.487,0.423,2,-8.181,1,0.0243,0.658,0.0,0.109,0.334,88.883,58,Pop,1203,James Ingram,1990,1990,0,0
8111,Fire And Rain,James Taylor,1970,203000,4,0.597,0.271,5,-17.293,1,0.0394,0.766,0.0119,0.0933,0.338,76.271,71,Pop,1204,James Taylor,1968,1977,9,2
8112,You’ve Got A Friend,James Taylor,1971,255000,4,0.765,0.317,11,-11.881,0,0.0274,0.88,2.35e-06,0.126,0.524,108.04,55,Pop,1204,James Taylor,1968,1977,9,3
8113,How Sweet It Is (To Be Loved by You),James Taylor,1975,216000,4,0.764,0.628,0,-10.961,1,0.048,0.336,0.0,0.0977,0.823,109.008,64,Pop,1204,James Taylor,1968,1977,9,7
8114,Handy Man,James Taylor,1977,196000,4,0.804,0.233,2,-14.17,1,0.0312,0.64,0.106,0.0854,0.583,90.639,56,Pop,1204,James Taylor,1968,1977,9,9
8115,Her Town Too,James Taylor & J.D. Souther,1981,274000,4,0.706,0.403,2,-15.017,1,0.0277,0.18,0.0,0.0975,0.56,97.381,47,Pop,1205,James Taylor & J.D. Souther,1981,1981,0,0
8116,Hold On,Jamie Walters,1995,227000,4,0.777,0.414,6,-7.44,0,0.0946,0.00421,2.73e-05,0.0724,0.287,100.002,71,Pop,1206,Jamie Walters,1995,1995,0,0
8117,Surf City,Jan & Dean,1963,147000,4,0.534,0.807,8,-12.871,1,0.0349,0.497,5e-05,0.232,0.964,147.843,49,Pop,1207,Jan & Dean,1963,1963,0,0
8118,Dead Man’s Curve,Jan and Dean,1964,151000,4,0.459,0.703,6,-9.578,1,0.041,0.677,0.000707,0.0815,0.904,133.5,37,Pop,1209,Jan and Dean,1964,1964,0,0
8119,Drag City,Jan and Dean,1964,197000,4,0.508,0.931,0,-4.539,0,0.0751,0.3,0.0,0.0639,0.556,139.937,32,Pop,1209,Jan and Dean,1964,1964,0,0
8120,The Little Old Lady From Pasadena,Jan and Dean,1964,166000,4,0.478,0.817,3,-5.48,1,0.0316,0.548,4e-05,0.0444,0.943,145.946,40,Pop,1209,Jan and Dean,1964,1964,0,0
8121,Miami Vice Theme,Jan Hammer,1985,147000,4,0.571,0.924,7,-9.887,1,0.0385,0.547,0.896,0.432,0.854,115.431,41,Pop,1208,Jan Hammer,1985,1985,0,0
8122,Don’t Wanna Fall In Love,Jane Child,1990,55000,3,0.352,0.344,9,-7.467,0,0.0355,0.773,0.0,0.377,0.341,107.722,61,Pop,1210,Jane Child,1990,1990,0,0
8123,Rush Hour,Jane Wiedlin,1988,201000,4,0.602,0.472,6,-5.375,0,0.265,0.262,0.0,0.172,0.304,163.817,54,Pop,1211,Jane Wiedlin,1988,1988,0,0
8124,Together Again,Janet,1998,301000,4,0.865,0.505,7,-11.813,1,0.102,0.0631,0.0151,0.102,0.475,123.102,63,Pop,1213,Janet,1998,1998,0,0
8125,What Have You Done For Me Lately,Janet Jackson,1986,299000,4,0.846,0.396,1,-12.408,1,0.0677,0.0157,0.0116,0.0656,0.841,114.045,48,Pop,1214,Janet Jackson,1986,2001,15,0
8126,When I Think Of You,Janet Jackson,1986,235000,4,0.759,0.639,9,-11.386,1,0.0425,0.084,0.0331,0.0518,0.706,116.207,54,Pop,1214,Janet Jackson,1986,2001,15,0
8127,Let’s Wait Awhile,Janet Jackson,1987,268000,4,0.563,0.763,1,-4.82,1,0.0383,0.0307,2.99e-05,0.101,0.253,180.267,0,Pop,1214,Janet Jackson,1986,2001,15,1
8128,Miss You Much,Janet Jackson,1989,252000,4,0.702,0.975,6,-7.968,0,0.0396,0.0305,0.000134,0.165,0.646,115.185,49,Pop,1214,Janet Jackson,1986,2001,15,3
8129,Alright,Janet Jackson,1990,219000,4,0.796,0.766,7,-5.974,1,0.238,0.0742,0.0,0.0827,0.558,110.034,80,Pop,1214,Janet Jackson,1986,2001,15,4
8130,Come Back To Me,Janet Jackson,1990,388000,4,0.623,0.462,4,-7.82,0,0.0326,0.397,0.0115,0.0492,0.344,73.007,74,Pop,1214,Janet Jackson,1986,2001,15,4
8131,Love Will Never Do (WITHOUT You),Janet Jackson,1991,350000,4,0.739,0.951,1,-8.863,1,0.0496,0.139,0.0062,0.462,0.551,103.17,45,Pop,1214,Janet Jackson,1986,2001,15,5
8132,Again,Janet Jackson,1993,193000,4,0.664,0.738,9,-4.095,0,0.0338,0.188,5.75e-05,0.135,0.203,119.973,76,Pop,1214,Janet Jackson,1986,2001,15,7
8133,If,Janet Jackson,1993,172000,4,0.457,0.499,1,-6.67,1,0.0334,0.247,6.34e-05,0.171,0.0348,127.95,84,Pop,1214,Janet Jackson,1986,2001,15,7
8134,That’s The Way Love Goes,Janet Jackson,1993,117000,4,0.558,0.31,7,-14.463,1,0.0318,0.921,0.00185,0.591,0.402,97.253,0,Pop,1214,Janet Jackson,1986,2001,15,7
8135,Because Of Love,Janet Jackson,1994,260000,4,0.764,0.878,5,-5.647,0,0.0523,0.287,0.00356,0.18,0.825,112.37,40,Pop,1214,Janet Jackson,1986,2001,15,8
8136,Runaway,Janet Jackson,1995,547000,4,0.374,0.568,1,-3.825,0,0.109,0.219,0.00219,0.513,0.111,84.733,80,Pop,1214,Janet Jackson,1986,2001,15,9
8137,I Get Lonely,Janet Jackson featuring Blackstreet,1998,317000,4,0.774,0.496,7,-8.144,0,0.0498,0.186,0.0,0.542,0.452,125.137,55,Pop,1215,Janet Jackson featuring Blackstreet,1998,1998,0,0
8138,At Seventeen,Janis Ian,1975,161000,4,0.557,0.853,8,-5.116,1,0.16,0.00223,0.0,0.267,0.565,174.985,53,Pop,1216,Janis Ian,1975,1975,0,0
8139,Me And Bobby Mcgee,Janis Joplin,1971,271000,4,0.43,0.463,2,-10.96,1,0.0442,0.303,5.84e-05,0.152,0.66,93.405,68,Pop,1217,Janis Joplin,1968,1971,3,3
